kind	key	db	owner_doc	cpp_ref	rust_target	status	test_gate	notes
prepared_statement	LOGIN_SEL_REALMLIST	auth_login	database-framework.md	/home/server/woltk-trinity-legacy/src/server/database/Database/Implementation/LoginDatabase.h:31; /home/server/woltk-trinity-legacy/src/server/database/Database/Implementation/LoginDatabase.cpp:26	crates/wow-database; crates/wow-database/src/lib.rs; crates/wow-database/src/database.rs; crates/wow-database/src/error.rs; crates/wow-database/src/params.rs	rust_statement_named	#DATABASE_FRAMEWORK.TEST.003	direct_prepare
prepared_statement	LOGIN_DEL_EXPIRED_IP_BANS	auth_login	database-framework.md	/home/server/woltk-trinity-legacy/src/server/database/Database/Implementation/LoginDatabase.h:32; /home/server/woltk-trinity-legacy/src/server/database/Database/Implementation/LoginDatabase.cpp:27	crates/wow-database; crates/wow-database/src/lib.rs; crates/wow-database/src/database.rs; crates/wow-database/src/error.rs; crates/wow-database/src/params.rs	rust_statement_named	#DATABASE_FRAMEWORK.TEST.003	direct_prepare
prepared_statement	LOGIN_UPD_EXPIRED_ACCOUNT_BANS	auth_login	database-framework.md	/home/server/woltk-trinity-legacy/src/server/database/Database/Implementation/LoginDatabase.h:33; /home/server/woltk-trinity-legacy/src/server/database/Database/Implementation/LoginDatabase.cpp:28	crates/wow-database; crates/wow-database/src/lib.rs; crates/wow-database/src/database.rs; crates/wow-database/src/error.rs; crates/wow-database/src/params.rs	rust_statement_named	#DATABASE_FRAMEWORK.TEST.003	direct_prepare
prepared_statement	LOGIN_SEL_IP_INFO	auth_login	database-framework.md	/home/server/woltk-trinity-legacy/src/server/database/Database/Implementation/LoginDatabase.h:34; /home/server/woltk-trinity-legacy/src/server/database/Database/Implementation/LoginDatabase.cpp:29	crates/wow-database; crates/wow-database/src/lib.rs; crates/wow-database/src/database.rs; crates/wow-database/src/error.rs; crates/wow-database/src/params.rs	rust_statement_named	#DATABASE_FRAMEWORK.TEST.003	direct_prepare
prepared_statement	LOGIN_INS_IP_AUTO_BANNED	auth_login	database-framework.md	/home/server/woltk-trinity-legacy/src/server/database/Database/Implementation/LoginDatabase.h:35; /home/server/woltk-trinity-legacy/src/server/database/Database/Implementation/LoginDatabase.cpp:30	crates/wow-database; crates/wow-database/src/lib.rs; crates/wow-database/src/database.rs; crates/wow-database/src/error.rs; crates/wow-database/src/params.rs	rust_statement_named	#DATABASE_FRAMEWORK.TEST.003	direct_prepare
prepared_statement	LOGIN_SEL_ACCOUNT_BANNED_ALL	auth_login	database-framework.md	/home/server/woltk-trinity-legacy/src/server/database/Database/Implementation/LoginDatabase.h:36; /home/server/woltk-trinity-legacy/src/server/database/Database/Implementation/LoginDatabase.cpp:33	crates/wow-database; crates/wow-database/src/lib.rs; crates/wow-database/src/database.rs; crates/wow-database/src/error.rs; crates/wow-database/src/params.rs	rust_statement_named	#DATABASE_FRAMEWORK.TEST.003	direct_prepare
prepared_statement	LOGIN_SEL_ACCOUNT_BANNED_BY_FILTER	auth_login	database-framework.md	/home/server/woltk-trinity-legacy/src/server/database/Database/Implementation/LoginDatabase.h:37; /home/server/woltk-trinity-legacy/src/server/database/Database/Implementation/LoginDatabase.cpp:34	crates/wow-database; crates/wow-database/src/lib.rs; crates/wow-database/src/database.rs; crates/wow-database/src/error.rs; crates/wow-database/src/params.rs	rust_statement_named	#DATABASE_FRAMEWORK.TEST.003	direct_prepare
prepared_statement	LOGIN_SEL_ACCOUNT_BANNED_BY_USERNAME	auth_login	database-framework.md	/home/server/woltk-trinity-legacy/src/server/database/Database/Implementation/LoginDatabase.h:38; /home/server/woltk-trinity-legacy/src/server/database/Database/Implementation/LoginDatabase.cpp:35	crates/wow-database; crates/wow-database/src/lib.rs; crates/wow-database/src/database.rs; crates/wow-database/src/error.rs; crates/wow-database/src/params.rs	rust_statement_named	#DATABASE_FRAMEWORK.TEST.003	direct_prepare
prepared_statement	LOGIN_DEL_ACCOUNT_BANNED	auth_login	database-framework.md	/home/server/woltk-trinity-legacy/src/server/database/Database/Implementation/LoginDatabase.h:39; /home/server/woltk-trinity-legacy/src/server/database/Database/Implementation/LoginDatabase.cpp:36	crates/wow-database; crates/wow-database/src/lib.rs; crates/wow-database/src/database.rs; crates/wow-database/src/error.rs; crates/wow-database/src/params.rs	rust_statement_named	#DATABASE_FRAMEWORK.TEST.003	direct_prepare
prepared_statement	LOGIN_UPD_ACCOUNT_INFO_CONTINUED_SESSION	auth_login	database-framework.md	/home/server/woltk-trinity-legacy/src/server/database/Database/Implementation/LoginDatabase.h:40; /home/server/woltk-trinity-legacy/src/server/database/Database/Implementation/LoginDatabase.cpp:37	crates/wow-database; crates/wow-database/src/lib.rs; crates/wow-database/src/database.rs; crates/wow-database/src/error.rs; crates/wow-database/src/params.rs	rust_statement_named	#DATABASE_FRAMEWORK.TEST.003	direct_prepare
